ID,VMSID,PrimaryLocation,PrimaryDirection,SecondaryLocation,City,County,AIMSID,AIMSLocationName,Region,Milepost,Latitude,Longitude,IPAddress,VMSLabel,Make,Model,LifeSpanYrs,Availability,Repairability,DateInstalled,EndOfLife,EquipmentNumber,StationID,StationName,ModemPhoneNumber,HasRadar,ITSID
11,12,I-80,EB,3400 W / MP 116.21,SLC,SL,20010,"I-80 EB / WB @ 3400 W / MP 116.21, SLC",R2,116.21, 40.764258,-111.968431,10.206.6.218:300,"I-80 EB @ 3400 W / MP 116.21, SLC",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
12,13,I-80,EB,1200 W / MP 118.45,SLC,SL,20011,"I-80 EB @ 1200 W / MP 118.45, SLC",R2,118.45, 40.764461,-111.925753,10.206.6.224:300,"I-80 EB @ 1200 W / MP 118.45, SLC",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
13,14,I-80,WB,400 E / MP 123.7,SSL,SL,20012,"I-80 WB @ 400 E / MP 123.7, SSL",R2,123.7, 40.718415,-111.879632,10.202.18.74:161,"I-80 WB @ 400 E / MP 123.7, SSL",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
14,15,I-80,EB,1900 E / MP 126,SLC,SL,10368,"I-80 EB @ 1900 E / MP 126, SLC",R2,126, 40.717281,-111.836297,10.202.18.50:300,"I-80 EB @ 1900 E / MP 126, SLC",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
15,16,I-80,WB,Mouth of Parley's Canyon / MP 129.64,NA,SL,20014,"I-80 WB @ Mouth of Parley's Canyon / MP 129.64, SL",R2,129.64, 40.721861,-111.776297,10.202.18.26:300,"I-80 WB @ Mouth of Parley's Canyon / MP 129.64, SL",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
16,17,I-80,WB,1700 E / MP 125.69,SLC,SL,10366,"I-80 WB @ 1700 E / MP 125.69, SLC",R2,125.69, 40.718897,-111.841886,10.202.18.62:300,"I-80 WB @ 1700 E / MP 125.69, SLC",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
17,18,I-80,EB,400 E / MP 123.7,SSL,SL,20016,"I-80 EB @ 400 E / MP 123.7, SSL",R2,123.7, 40.718036,-111.879716,10.202.18.86:161,"I-80 EB @ 400 E / MP 123.7, SSL",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
18,19,I-215 W,SB,250 N / MP 23,SLC,SL,10248,"I-215 W SB @ 250 N / MP 23, SLC",R2,23, 40.775072,-111.949486,10.204.5.14:300,"I-215 W SB @ 250 N / MP 23, SLC",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
19,20,I-215 W,SB,1000 S / MP 21.14,SLC,SL,20018,"I-215 W SB @ 1000 S / MP 21.14, SLC",R2,21.14, 40.748436,-111.949072,10.206.6.212:300,"I-215 W SB @ 1000 S / MP 21.14, SLC",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
20,21,I-215 W,SB,2700 S / MP 18.65,WVC,SL,20019,"I-215 W SB @ 2700 S / MP 18.65, WVC",R2,18.65,40.712639,-111.954117,10.210.6.26:161,"I-215 W SB @ 2700 S / MP 18.65, WVC",Daktronics,27x105,10,TRUE,TRUE,2/15/2018,2/15/2028,NA,NA,NA,NA,FALSE,NA
21,22,I-215 W,SB,5400 S / MP 14.6,TAY,SL,10218,"I-215 W SB @ 5400 S / MP 14.6, TAY",R2,14.6, 40.654031,-111.952936,10.208.13.154:300,"I-215 W SB @ 5400 S / MP 14.6, TAY",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
22,23,I-215 W,NB,4100 S / MP 16.5,TAY,SL,10226,"I-215 W NB @ 4100 S / MP 16.5, TAY",R2,16.5,40.681693,-111.951046,10.208.13.166:161,"I-215 W NB @ 4100 S / MP 16.5, TAY",Daktronics,27x105,10,TRUE,TRUE,2/15/2018,2/15/2028,NA,NA,NA,NA,FALSE,NA
23,24,I-215 W,NB,1100 S / MP 20.97,SLC,SL,20022,"I-215 W NB @ 1100 S / MP 20.97, SLC",R2,20.97, 40.745922,-111.948589,10.206.6.206:300,"I-215 W NB @ 1100 S / MP 20.97, SLC",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
24,25,I-215 S,EB,500 E / MP 9.93,MDV,SL,10202,"I-215 S EB @ 500 E / MP 9.93, MDV",R2,9.93, 40.630139,-111.876131,10.208.8.142:300,"I-215 S EB @ 500 E / MP 9.93, MDV",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
25,26,I-215 S,WB,800 E / MP 9.62,MUR,SL,10293,"I-215 S WB @ 800 E / MP 9.62, MUR",R2,9.62, 40.630367,-111.870239,10.208.8.148:300,"I-215 S WB @ 800 E / MP 9.62, MUR",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
26,27,I-215 S,WB,1200 W / MP 12.75,MUR,SL,10210,"I-215 S WB @ 1200 W / MP 12.75, MUR",R2,12.75, 40.642100,-111.925481,10.208.13.142:300,"I-215 S WB @ 1200 W / MP 12.75, MUR",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
27,28,I-215 E,NB,3100 S / MP 1.62,NA,SL,10225,"I-215 E NB @ 3100 S / MP 1.62, SL",R2,1.62, 40.703375,-111.794947,10.208.18.14:300,"I-215 E NB @ 3100 S / MP 1.62, SL",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
28,29,I-215 E,SB,4800 S / MP 4.39,HDY,SL,10275,"I-215 E SB @ 4800 S / MP 4.39, HDY",R2,4.39, 40.664608,-111.805933,10.201.9.142:300,"I-215 E SB @ 4800 S / MP 4.39, HDY",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
29,30,SR-201,EB,3600 W / MP 13.23,WVC,SL,20028,"SR-201 EB @ 3600 W / MP 13.23, WVC",R2,13.23, 40.725844,-111.977592,10.206.6.32:161,"SR-201 EB @ 3600 W / MP 13.23, WVC",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
30,31,SR-201,EB,1275 W / MP 15.83,WVC,SL,20029,"SR-201 EB @ 1275 W / MP 15.83, WVC",R2,15.83, 40.724128,-111.928117,10.205.5.96:300,"SR-201 EB @ 1275 W / MP 15.83, WVC",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
31,32,I-15,SB,1500 S / MP 316.26,WXS,DA,20030,"I-15 SB @ 1500 S / MP 316.26, WXS",R1,316.26, 40.875150,-111.897061,10.203.6.142:300,"I-15 SB @ 1500 S / MP 316.26, WXS",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
32,100235,I-15,NB,15400 S / MP 287.23,DPR,SL,6818,"I-15 NB @ 15400 S / MP 287.23, DPR",R2,287.23, 40.471272,-111.908160,10.212.22.214:161,"I-15 NB @ 15400 S / MP 287.23, DPR",Daktronics,27x105,NA,TRUE,TRUE,9/22/2016,NA,NA,NA,NA,NA,FALSE,NA
33,34,I-80,EB,Mouth of Parley's Canyon / MP 128.87,NA,SL,20032,"I-80 EB @ Mouth of Parley's Canyon / MP 128.87, SL",R2,128.87, 40.714058,-111.785867,10.202.18.142:300,"I-80 EB @ Mouth of Parley's Canyon / MP 128.87, SL",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
34,35,I-15,NB,2000 N / MP 321.26,CVL,DA,20033,"I-15 NB @ 2000 N / MP 321.26, CVL",R1,321.26, 40.946778,-111.890972,10.203.6.148:300,"I-15 NB @ 2000 N / MP 321.26, CVL",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
35,36,I-15,SB,2000 N / MP 321.27,CVL,DA,20034,"I-15 SB @ 2000 N / MP 321.27, CVL",R1,321.27, 40.946853,-111.891556,10.203.6.154:300,"I-15 SB @ 2000 N / MP 321.27, CVL",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
36,37,I-80,WB,Mountain Dell / MP 134.54,NA,SL,20035,"I-80 WB @ Mountain Dell / MP 134.54, SL",R2,134.54, 40.748900,-111.698561,10.202.18.154:300,"I-80 WB @ Mountain Dell / MP 134.54, SL",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
37,47,2100 S / SR-201,WB,West Temple St / 100 W,SLC,SL,20036,"2100 S / SR-201 WB @ West Temple St / 100 W, SLC",R2,17.75, 40.725531,-111.894967,10.205.10.140:2102,"2100 S / SR-201 WB @ West Temple St / 100 W, SLC",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
38,48,State St / US-89,SB,3200 S,SSL,SL,20037,"State St / US-89 SB @ 3200 S, SSL",R2,374.45, 40.702178,-111.888500,10.205.11.140:2103,"State St / US-89 SB @ 3200 S, SSL",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
39,49,State St / US-89,SB,4300 S,MUR,SL,20038,"State St / US-89 SB @ 4300 S, MUR",R2,372.73, 40.677753,-111.888511,10.205.11.176:2102,"State St / US-89 SB @ 4300 S, MUR",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
40,50,State St / US-89,SB,7050 S,MDV,SL,20039,"State St / US-89 SB @ 7050 S, MDV",R2,368.92, 40.623194,-111.890511,10.208.14.12:2102,"State St / US-89 SB @ 7050 S, MDV",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
41,51,State St / US-89,NB,5400 S,MUR,SL,20040,"State St / US-89 NB @ 5400 S, MUR",R2,371.03, 40.653319,-111.888217,10.205.11.212:2102,"State St / US-89 NB @ 5400 S, MUR",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
42,52,State St / US-89,NB,4600 S,MUR,SL,20041,"State St / US-89 NB @ 4600 S, MUR",R2,372.28, 40.671325,-111.888069,10.205.11.200:2102,"State St / US-89 NB @ 4600 S, MUR",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
43,53,State St / US-89,NB,3400 S,SSL,SL,20042,"State St / US-89 NB @ 3400 S, SSL",R2,374.09, 40.697205,-111.888063,10.205.11.164:2102,"State St / US-89 NB @ 3400 S, SSL",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
44,54,3300 S / SR-171,WB,170 E,SSL,SL,20043,"3300 S / SR-171 WB @ 170 E, SSL",R2,10.83, 40.699947,-111.886417,10.205.11.152:2102,"3300 S / SR-171 WB @ 170 E, SSL",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
45,55,3300 S / SR-171,EB,1100 W,SSL,SL,20044,"3300 S / SR-171 EB @ 1100 W, SSL",R2,8.95, 40.699292,-111.922247,10.202.7.12:2102,"3300 S / SR-171 EB @ 1100 W, SSL",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
46,56,4500 S / SR-266,WB,200 E,MUR,SL,20045,"4500 S / SR-266 WB @ 200 E, MUR",R2,3.69, 40.674472,-111.885358,10.205.11.188:2102,"4500 S / SR-266 WB @ 200 E, MUR",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
47,57,4500 S / Taylorsville Expwy / SR-266,EB,1075 W,TAY,SL,20046,"4500 S / Taylorsville Expwy / SR-266 EB @ 1075 W, TAY",R2,1.91, 40.672878,-111.918636,10.210.7.36:2102,"4500 S / Taylorsville Expwy / SR-266 EB @ 1075 W, TAY",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
48,58,5400 S / SR-173,EB,1050 W,MUR,SL,20047,"5400 S / SR-173 EB @ 1050 W, MUR",R2,8.36, 40.652900,-111.917969,10.210.7.60:2102,"5400 S / SR-173 EB @ 1050 W, MUR",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
49,61,9000 S / SR-209,WB,50 E,SND,SL,10198,"9000 S / SR-209 WB @ 50 E, SND",R2,7.95, 40.588239,-111.889222,10.208.14.24:2102,"9000 S / SR-209 WB @ 50 E, SND",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
50,64,I-80,EB,Jeremy Ranch / MP 142.61,NA,SU,20053,"I-80 EB @ Jeremy Ranch / MP 142.61, SU",R2,142.61, 40.744578,-111.563144,10.213.6.178:300,"I-80 EB @ Jeremy Ranch / MP 142.61, SU",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
51,65,I-80,WB,Silvercreek Jct / US-40 / MP 147.5,NA,SU,10414,"I-80 WB @ Silvercreek Jct / US-40 / MP 147.5, SU",R2,147.5, 40.736450,-111.487578,10.213.7.166:300,"I-80 WB @ Silvercreek Jct / US-40 / MP 147.5, SU",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
52,66,I-15,SB,1800 N / Harrisville Rd / MP 348.23,FRW,WB,15257,"I-15 SB @ 1800 N / Harrisville Rd / MP 348.23, FRW",R1,348.23, 41.290058,-112.026203,10.234.10.62:300,"I-15 SB @ 1800 N / Harrisville Rd / MP 348.23, FRW",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
53,67,US-89,NB,Gentile St / 1000 N / MP 401.87,LTN,DA,20056,"US-89 NB @ Gentile St / 1000 N / MP 401.87, LTN",R1,401.87, 41.072689,-111.910775,10.232.10.38:300,"US-89 NB @ Gentile St / 1000 N / MP 401.87, LTN",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
54,68,US-6,EB,Canyon Rd / SR-198 / MP 177.12,SPF,UT,10318,"US-6 EB @ Canyon Rd / SR-198 / MP 177.12, SPF",R3,177.12, 40.090756,-111.596617,10.167.5.167:300,"US-6 EB @ Canyon Rd / SR-198 / MP 177.12, SPF",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
55,69,US-6,NB / WB,1000 N / MP 231.74,HLP,CC,15539,"US-6 NB/WB @ 800 N / 1000 N / MP 231.83/231.74, HLP",R4,231.74, 39.701158,-110.868344,10.157.5.207:300,"US-6 NB/WB @ 1000 N / MP 231.74, HLP",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
56,71,I-80,WB,Jeremy Ranch / MP 142.93,NA,SU,6207,"I-80 WB @ Jeremy Ranch / MP 142.93, SU",R2,142.93, 40.741036,-111.559036,10.213.6.238:161,"I-80 WB @ Jeremy Ranch / MP 142.93, SU",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
57,72,I-215 W,NB,1300 N / MP 24.6,SLC,SL,10254,"I-215 W NB @ 1300 N / MP 24.6, SLC",R2,24.6, 40.797958,-111.949036,10.204.5.20:300,"I-215 W NB @ 1300 N / MP 24.6, SLC",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
58,73,I-15,SB,Burton Ln / MP 326.9,KAY,DA,20060,"I-15 SB @ Burton Ln / MP 326.9, KAY",R1,326.9, 41.013592,-111.939956,10.232.5.14:300,"I-15 SB @ Burton Ln / MP 326.9, KAY",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
59,74,US-89,SB,Green Rd / MP 398.86,FRU,DA,15290,"US-89 SB @ Green Rd / MP 398.86, FRU",R1,398.86, 41.029681,-111.908894,10.232.7.32:300,"US-89 SB @ Green Rd / MP 398.86, FRU",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
60,100236,I-15,SB,4550 N / MP 285.05,LHI,UT,5991,"I-15 SB @ 4550 N / MP 285.05, LHI",R3,285.05, 40.442720,-111.904063,10.212.25.166:161,"I-15 SB @ 4550 N / MP 285.05, LHI",Daktronics,27x105,NA,TRUE,TRUE,9/22/2016,NA,NA,NA,NA,NA,FALSE,NA
61,80,I-80,WB,3400 W / MP 116.21,SLC,SL,20010,"I-80 EB / WB @ 3400 W / MP 116.21, SLC",R2,116.21, 40.764772,-111.968372,10.206.6.217:161,"I-80 WB @ 3400 W / MP 116.21, SLC",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
62,81,500 S / Cesar E Chavez Blvd / SR-269,WB,350 W to I-80 WB,SLC,SL,5874,"500 S / Cesar E Chavez Blvd / SR-269 @ 350 W, SLC",R2,1.57, 40.758506,-111.900894,10.204.5.108:161,"500 S / Cesar E Chavez Blvd / SR-269 WB @ 350 W to I-80 WB, SLC",NA,NA,NA,FALSE,FALSE,12/1/2010,NA,NA,NA,NA,NA,FALSE,NA
63,82,500 S / Cesar E Chavez Blvd / SR-269,WB,350 W to I-15 SB,SLC,SL,5874,"500 S / Cesar E Chavez Blvd / SR-269 @ 350 W, SLC",R2,1.57, 40.758464,-111.900894,10.204.5.109:161,"500 S / Cesar E Chavez Blvd / SR-269 WB @ 350 W to I-15 SB, SLC",NA,NA,NA,FALSE,FALSE,12/1/2010,NA,NA,NA,NA,NA,FALSE,NA
64,83,500 S / Cesar E Chavez Blvd / SR-269,WB,350 W to I-80 EB,SLC,SL,5874,"500 S / Cesar E Chavez Blvd / SR-269 @ 350 W, SLC",R2,1.57, 40.758422,-111.900897,10.204.5.110:161,"500 S / Cesar E Chavez Blvd / SR-269 WB @ 350 W to I-80 EB, SLC",NA,NA,NA,FALSE,FALSE,12/1/2010,NA,NA,NA,NA,NA,FALSE,NA
65,84,300 W / John Stockton Dr / US-89,SB,350 S,SLC,SL,6208,"300 W / John Stockton Dr / US-89 SB @ 350 S, SLC",R2,379.22, 40.761647,-111.899667,10.211.6.38:161,"300 W / John Stockton Dr / US-89 SB @ 350 S, SLC",NA,NA,NA,FALSE,FALSE,12/1/2010,NA,NA,NA,NA,NA,FALSE,NA
66,95,I-15,SB,12800 S / MP 290.85,DPR,SL,20064,"I-15 SB @ 12800 S / MP 290.85, DPR",R2,290.85, 40.518800,-111.891489,10.215.5.160:161,"I-15 SB @ 12800 S / MP 290.85, DPR",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
67,100,I-80,EB,Lake Point / MP 100,LKP,TE,20065,"I-80 EB / WB @ Lake Point / MP 100, TE",R2,100, 40.709356,-112.249122,10.215.7.14:161,"I-80 EB @ Lake Point / MP 100, TE",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
68,101,I-80,WB,Lake Point / MP 100,LKP,TE,20065,"I-80 WB @ Lake Point / MP 100, TE",R2,100, 40.709692,-112.249481,10.215.7.16:161,"I-80 WB @ Lake Point / MP 100, TE",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
69,105,I-15,NB,1100 S / MP 333.54,CFD,DA,20067,"I-15 NB @ 1100 S / MP 333.54, CFD",R1,333.54, 41.097058,-111.997675,10.234.5.248:161,"I-15 NB @ 1100 S / MP 333.54, CFD",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
70,110,I-15,NB,700 N / MP 314.74,NSL,DA,20068,"I-15 NB @ 700 N / MP 314.74, NSL",R1,314.74, 40.855247,-111.907303,10.203.5.44:161,"I-15 NB @ 700 N / MP 314.74, NSL",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
71,115,I-15,NB,200 S / MP 356.43,WIL,BE,15259,"I-15 NB @ 200 S / MP 356.43, WIL",R1,356.43, 41.405908,-112.048583,166.154.68.91:200,"I-15 NB @ 200 S / MP 356.43, WIL",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
72,120,US-89/91 / 1100 S,EB,Michelle Dr / MP 2.26,BRC,BE,20070,"US-89/91 / 1100 S @ Michelle Dr / MP 2.26, BRC",R1,2.26, 41.486347,-112.010378,10.250.7.78:161,"US-89/91 / 1100 S EB @ Michelle Dr / MP 2.26, BRC",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
73,125,US-89/91,SB,950 S / MP 17.18,WVL,CA,15322,"US-89/91 @ 950 S / MP 17.18, WVL",R1,17.18, 41.618050,-111.932042,10.237.6.50,"US-89/91 SB @ 950 S / MP 17.18, WVL",Daktronics,27x105,10,TRUE,TRUE,6/17/2019,6/17/2029,NA,NA,NA,NA,FALSE,NA
74,130,I-15,SB,River Valley Dr / 3650 S / MP 341.17,RDL,WB,30195,"I-15 SB @ River Valley Dr / 3650 S / MP 341.17, RDL",R1,341.17, 41.195917,-112.000528,10.234.7.178:161,"I-15 SB @ River Valley Dr / 3650 S / MP 341.17, RDL",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
75,135,I-15,NB,4000 S / MP 340.76,RDL,WB,40237,"I-15 NB @ 4000 S / MP 340.76, RDL",R1,340.76, 41.191047,-112.005194,10.234.7.166:161,"I-15 NB @ 4000 S / MP 340.76, RDL",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
76,140,I-80,WB,Echo Canyon / Rest Stop / MP 170.44,NA,SU,20074,"I-80 WB @ Echo Canyon / Rest Stop / MP 170.44, SU",R2,170.44, 40.998969,-111.392900,166.241.189.4:200,"I-80 WB @ Echo Canyon / Rest Stop / MP 170.44, SU",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
77,145,I-15,NB,1900 N / MP 311.16,SLC,SL,20075,"I-15 NB @ 1900 N / MP 311.16, SLC",R2,311.16, 40.807069,-111.923152,10.204.13.154:161,"I-15 NB @ 1900 N / MP 311.16, SLC",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
78,150,State St / US-89,NB,9165 S,SND,SL,20076,"State St / US-89 NB @ 9165 S / MP 366.25, SND",R2,366.25, 40.585244,-111.890667,10.208.14.50:161,"State St / US-89 NB @ 9165 S / MP 366.25, SND",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
79,155,State St / US-89,SB,10500 S,SND,SL,20077,"State St / US-89 SB @ 10500 S, SND",R2,364.51, 40.560122,-111.891039,10.208.14.62:161,"State St / US-89 SB @ 10500 S, SND",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
80,157,10600 S,WB,80 E,SND,SL,20051,"10600 S WB @ 80 E, SND",R2,NA, 40.558983,-111.889056,10.208.14.38:161,"10600 S WB @ 80 E, SND",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
81,160,State St / US-89,NB,10700 S,SND,SL,20078,"State St / US-89 NB @ 10700 S, SND",R2,364.27, 40.556603,-111.890608,10.208.14.74:161,"State St / US-89 NB @ 10700 S, SND",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
82,170,Little Cottonwood Rd / 3335 E / SR-209,EB,Old Wasatch Blvd / 9710 S,GNT,SL,15391,"Little Cottonwood Rd / 3335 E / SR-209 EB @ Old Wasatch Blvd / 9710 S, SL",R2,13.24, 40.574339,-111.799767,10.201.12.178:161,"Little Cottonwood Rd / 3335 E / SR-209 EB @ Old Wasatch Blvd / 9710 S, SL",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
83,175,Charleston Rd / 3600 W / SR-113,SB,US-189,CHR,WA,15434,"Charleston Rd / 3600 W / SR-113 SB @ US-189, CHR",R3,0.12, 40.457578,-111.471797,10.157.6.78:161,"Charleston Rd / 3600 W / SR-113 SB @ US-189, CHR",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
84,180,US-189,SB,Milepost 25.34,CHR,WA,15435,"US-189 SB @ Milepost 25.34, CHR",R3,25.34, 40.460578,-111.465672,10.157.6.14:161,"US-189 SB @ Milepost 25.34, CHR",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
85,185,300 W / John Stockton Dr / US-89,NB,50 N,SLC,SL,20082,"300 W / John Stockton Dr / US-89 NB @ 50 N, SLC",R2,379.8, 40.770172,-111.899656,10.204.10.62:161,"300 W / John Stockton Dr / US-89 NB @ 50 N, SLC",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
86,190,400 S / University Blvd / US-89,WB,250 W,SLC,SL,20083,"400 S / University Blvd / US-89 WB @ 250 W, SLC",R2,379.05, 40.760766,-111.897810,10.211.5.154:161,"400 S / University Blvd / US-89 WB @ 250 W, SLC",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
87,195,500 S / Cesar E Chavez Blvd / SR-269,WB,250 W,SLC,SL,20084,"500 S / Cesar E Chavez Blvd / SR-269 WB @ 250 W, SLC",R2,1.38, 40.758603,-111.897366,10.211.5.178:161,"500 S / Cesar E Chavez Blvd / SR-269 WB @ 250 W, SLC",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
88,197,University Ave / US-189,NB,5800 N,PVO,UT,20085,"University Ave / US-189 NB @ 5800 N, PVO",R3,7.21, 40.309925,-111.655386,10.166.9.142:161,"University Ave / US-189 NB @ 5800 N, PVO",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
89,198,800 N / SR-52,EB,1500 E,ORM,UT,20086,"800 N / SR-52 EB @ 1500 E, ORM",R3,3.89, 40.311944,-111.661053,10.166.10.14:161,"800 N / SR-52 EB @ 1500 E, ORM",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
90,199,I-15,NB,600 S / MP 255,SPF,UT,15131,"I-15 NB @ 600 S / MP 255, SPF",R3,255.06, 40.103122,-111.683700,10.157.7.14:161,"I-15 NB @ 600 S / MP 255, SPF",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
91,201,Legacy Pkwy / SR-67,NB,100 S / MP 0.88,NSL,DA,20088,"Legacy Pkwy / SR-67 NB @ 100 S / MP 0.88, NSL",R1,0.88, 40.839172,-111.941611,10.203.8.14:161,"Legacy Pkwy / SR-67 NB @ 100 S / MP 0.88, NSL",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
92,202,Redwood Rd / SR-68,NB,500 S / SR-68,WXS,DA,20089,"Redwood Rd / SR-68 NB @ 500 S / SR-68, WXS",R1,67.2, 40.882814,-111.929778,10.203.8.154:502,"Redwood Rd / SR-68 NB @ 500 S / SR-68, WXS",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
93,203,500 S / SR-68,WB,Redwood Rd / SR-68,WXS,DA,31097,"500 S / SR-68 WB @ Redwood Rd / SR-68, WXS",R1,67.25, 40.884178,-111.929683,10.203.10.142:502,"500 S / SR-68 WB @ Redwood Rd / SR-68, WXS",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
